2.100000000000000000e+01 1.404029038010522612e+01 7.990070865583277782e-02
1.049999999999999822e+01 7.020145168891136045e+00 6.914176938967936392e-02
6.999999999999999112e+00 4.680096777183084811e+00 6.354125317003024576e-02
5.249999999999999112e+00 3.510072588247941550e+00 5.988790229295032352e-02
4.199999999999999289e+00 2.808058092905427738e+00 5.721647470652728440e-02
3.499999999999999556e+00 2.340048402137116401e+00 5.513149999476543023e-02
3.000000000000000000e+00 2.005755770327848353e+00 5.343903744753299850e-02
2.624999999999999556e+00 1.755036305457940760e+00 5.203034863220856732e-02
2.333333333333333037e+00 1.560032263375511707e+00 5.083786844230835794e-02
2.100000000000000089e+00 1.404029036933229113e+00 4.981610804293995498e-02
